category,tag_id,label_nl,label_en,elite_gated,relevance_scope,relevance_clusters_high,relevance_clusters_low,relevance_countries_high,exclude_countries,notes
spheres,sphere-fine-dining-gastronomy,Fine Dining & Gastronomie,Fine Dining & Gastronomy,no,cluster_dependent,E1_NW_EUROPE_ARISTOCRATIC|E4_MEDITERRANEAN_ARISTOCRATIC|E2_ANGLOSPHERE_OLD_MONEY|E7_EAST_ASIAN_CONFUCIAN,,FR|IT|BE|JP|ES|US|GB,,Strongest in culinary-capital cultures. FR/IT/BE classic European haute cuisine; JP Kaiseki tradition; US/GB modern fine dining.
spheres,sphere-art-culture,Kunst & Cultureel Leven,Art & Cultural Life,no,cluster_dependent,E1_NW_EUROPE_ARISTOCRATIC|E4_MEDITERRANEAN_ARISTOCRATIC|E2_ANGLOSPHERE_OLD_MONEY|E7_EAST_ASIAN_CONFUCIAN,,FR|IT|GB|DE|AT|US|JP|BE,,"Cultural-capital cities (Paris, Florence/Rome, London, Berlin/Vienna, NYC, Tokyo, Brussels)."
spheres,sphere-music-entertainment,Muziek & Entertainment,Music & Entertainment,no,universal,,,,,Universal. Specific music-genre-relevance captured in Cultural Interests later.
spheres,sphere-formal-ceremonial,Formele Gelegenheden & Ceremonieel,Formal Occasions & Ceremonial,no,cluster_dependent,E1_NW_EUROPE_ARISTOCRATIC|E2_ANGLOSPHERE_OLD_MONEY|E3_NORDIC_MONARCHIES|E5_GULF_ROYAL|E14_VATICAN_RELIGIOUS|E8_SE_ASIA_NON_CONFUCIAN,,GB|BE|NL|ES|DK|SE|NO|JP|JO|MA|SA|VA|TH|BT,,Strongest in active-monarchy + religious-court contexts. Ceremonial protocol culture intense in Tier A countries.
spheres,sphere-lifestyle-wellbeing,Lifestyle & Welzijn,Lifestyle & Wellbeing,no,universal,,,,,Universal. Wellness-as-lifestyle is culture-cross-cutting.
spheres,sphere-travel-hospitality,Reizen & Hospitality,Travel & Hospitality,no,universal,,,,,Universal. Both travel-consuming and host-hospitality dimensions present in all eligible countries.
spheres,sphere-academia-research,Wetenschap & Academia,Science & Academia,no,cluster_dependent,E1_NW_EUROPE_ARISTOCRATIC|E2_ANGLOSPHERE_OLD_MONEY|E3_NORDIC_MONARCHIES|E7_EAST_ASIAN_CONFUCIAN,,GB|US|DE|CH|FR|BE|NL|SE|JP|SG|HK|IL,,"Academic-elite arena: Oxbridge, Ivy League, Grandes Écoles, ETH Zurich, KU Leuven, Tsinghua/Peking, Tokyo, NUS, Hebrew University. Includes research institutes (Pasteur, Karolinska, Max Planck)."
spheres,sphere-politics-diplomacy,Politiek & Diplomatie,Politics & Diplomacy,yes,country_specific,,,BE|CH|GB|FR|DE|US|RU|CN|JP|IN|BR|SA|AE|IL|TR|EG|MA|JO|VA|NL|AT,,AMBASSADEUR-gated. Capital-city + diplomatic-hub specific. BE special (Brussels = EU + NATO HQ). CH special (Geneva UN). VA special (Holy See diplomacy). Lower in Tier D and Pacific microstates.
spheres,sphere-philanthropy-foundations,Filantropie & Foundations,Philanthropy & Foundations,yes,cluster_dependent,E2_ANGLOSPHERE_OLD_MONEY|E1_NW_EUROPE_ARISTOCRATIC|E5_GULF_ROYAL|E7_EAST_ASIAN_CONFUCIAN,,US|GB|CH|DE|BE|NL|SA|AE|QA|HK|SG|JP,,"AMBASSADEUR-gated. UHNW + foundation-tradition arena. US (Rockefeller/Carnegie/Gates), CH (Geneva private foundations), Gulf (royal-zakat institutions), East Asian (family foundations - Tata-like in IN). Different from goal-philanthropy-impact: sphere = waar je opereert, goal = wat je nastreeft."
spheres,sphere-family-heritage,Familie & Erfgoed,Family & Heritage,yes,cluster_dependent,E5_GULF_ROYAL|E7_EAST_ASIAN_CONFUCIAN|E1_NW_EUROPE_ARISTOCRATIC|E9_SOUTH_ASIA|E10_LATIN_AMERICA_CRIOLLO|E6_LEVANT_MAGHREB,,SA|AE|JP|KR|CN|HK|TW|BE|NL|FR|DE|AT|CH|IT|ES|IN|PK|MX|BR|AR|LB|JO|MA,,"AMBASSADEUR-gated. Estate-stewardship, family-business-succession, primogenituur, fideicommissum-context. Strongest in cultures with continuous family-line traditions (Confucian filial piety, Gulf tribal lineage, NW European aristocratic continuity, Hispanic/Lusophone criollo, South Asian joint-family)."
spheres,sphere-religious-community,Religie & Spiritualiteit,Religious Community & Spirituality,no,cluster_dependent,E5_GULF_ROYAL|E14_VATICAN_RELIGIOUS|E9_SOUTH_ASIA|E6_LEVANT_MAGHREB|E8_SE_ASIA_NON_CONFUCIAN|E12_SUB_SAHARA,E2_ANGLOSPHERE_OLD_MONEY|E3_NORDIC_MONARCHIES|E13_CEE_POST_SOVIET,VA|SA|IR|IL|TH|BT|KH|MA|JO|EG|IN|PK|LB,,"Religious-public-sphere strongest in Muslim Gulf, Catholic Latin/Vatican, Buddhist SE Asia, Hindu South Asia, Confessional Lebanon. Secularised in Anglo + Nordic + post-Soviet."
dresscode,dresscode-white-tie,Witte das (Rok),White Tie,yes,cluster_dependent,E1_NW_EUROPE_ARISTOCRATIC|E2_ANGLOSPHERE_OLD_MONEY|E3_NORDIC_MONARCHIES|E4_MEDITERRANEAN_ARISTOCRATIC|E14_VATICAN_RELIGIOUS,,GB|BE|NL|ES|DK|SE|NO|JP|MC|LI|LU|VA|AT|DE|FR|IT|IL,,"Most formal evening dress. Mandatory for state dinners + royal weddings + Nobel ceremonies + Vienna Opera Ball. Sweden Nobel banquet, GB state banquets, JP Imperial dinners."
dresscode,dresscode-black-tie,Zwarte das (Smoking),Black Tie,yes,universal,,,,,Universal AMB-gated. Formal evening across Tier A/B/C. Most internationally-recognized formal code.
dresscode,dresscode-black-tie-creative,Zwarte das Creatief,Black Tie Creative,yes,cluster_dependent,E2_ANGLOSPHERE_OLD_MONEY|E1_NW_EUROPE_ARISTOCRATIC,,US|GB|FR,,"Variant — creative-twist Black Tie. Met Gala, Cannes, Vanity Fair Oscar Party context. Anglo + French capital-cities."
dresscode,dresscode-morning-dress,Ochtendjas (Jacquet),Morning Dress,yes,cluster_dependent,E2_ANGLOSPHERE_OLD_MONEY|E1_NW_EUROPE_ARISTOCRATIC|E3_NORDIC_MONARCHIES,,GB|BE|NL|ES|DK|SE|NO|JP|MC,,"Formal daywear: Royal Ascot, royal weddings, state-occasions. Strongest in active monarchies."
dresscode,dresscode-stroller,Stroller,Stroller / Black Lounge,yes,cluster_dependent,E2_ANGLOSPHERE_OLD_MONEY|E1_NW_EUROPE_ARISTOCRATIC,,GB|BE|NL|DE|FR,,"Semi-formal daywear (between Lounge Suit and Morning Dress). Black jacket + striped trousers. Less formal than Morning Dress. Diplomatic + court ceremonies, formal funerals."
dresscode,dresscode-garden-party-day,Garden Party Daywear,Garden Party Day Wear,yes,cluster_dependent,E2_ANGLOSPHERE_OLD_MONEY|E1_NW_EUROPE_ARISTOCRATIC,,GB|US|FR|BE|NL,,Royal Ascot Day 1-2-3 variants; Garden party at Buckingham Palace; Queen's birthday garden parties. Lighter than Morning Dress; hats mandatory for women.
dresscode,dresscode-business-formal,Formeel zakelijk,Business Formal,no,universal,,,,,Universal. Standard corporate formal.
dresscode,dresscode-lounge-suit,Lounge-pak,Lounge Suit,no,universal,,,,,Universal. Day suit standard.
dresscode,dresscode-cocktail,Cocktailtenue,Cocktail Attire,no,universal,,,,,Universal. Evening reception standard.
dresscode,dresscode-business-casual,Zakelijk casual,Business Casual,no,universal,,,,,Universal. Modern office relaxed-formal.
dresscode,dresscode-smart-office,Smart Office,Smart Office,no,universal,,,,,Universal. Friday-casual + modern startup-office. Distinct from Business Casual: less formal but presentable.
dresscode,dresscode-smart-casual,Verzorgd casual,Smart Casual,no,universal,,,,,Universal. Polished informal.
dresscode,dresscode-country-casual,Landelijk casual,Country Casual,yes,cluster_dependent,E2_ANGLOSPHERE_OLD_MONEY|E1_NW_EUROPE_ARISTOCRATIC,,GB|BE|NL|DE|FR|US|IE,,"AMBASSADEUR-gated. Tweed, Barbour, country-house weekend, hunt-shoot context. Strongest in Anglo-Continental country-estate tradition."
dresscode,dresscode-creative-casual,Creatief casual,Creative Casual,no,universal,,,,,Universal. Creative-industries informal.
dresscode,dresscode-resort-formal,Vakantiekledij (Resort),Resort Formal,no,universal,,,,,Universal. Resort + cruise + holiday luxury.
dresscode,dresscode-highland-dress,Highland Dress (Kilt),Highland Dress,yes,country_specific,,,GB|CA|AU|NZ|US,,"AMBASSADEUR-gated. Schotse formal (Argyll + Prince Charlie variants). Burns Night, Edinburgh Tattoo, Scottish weddings. Diaspora-significant (CA/AU/US Scottish-descendent communities)."
dresscode,dresscode-court-dress,Hofkledij,Court Dress,yes,country_specific,,,GB|BE|NL|ES|DK|SE|NO|JP|MC|LI|LU|MA|JO|SA|BT|TH|KH|MY|BN,,AMBASSADEUR-gated. Formal court protocol dress (variants per monarchy). Royal Court appearances; state ceremonies. Tier A monarchies only.
dresscode,dresscode-diplomatic-uniform,Diplomatiek uniform,Diplomatic Uniform,yes,country_specific,,,BE|GB|FR|DE|NL|ES|IT|AT|RU|JP|CN|VA,,AMBASSADEUR-gated. Career-diplomat ceremonial uniform (varies per country). Strongest in countries with formal diplomatic corps tradition.
dresscode,dresscode-mess-dress,Officiers-Galauniform,Mess Dress,yes,country_specific,,,GB|BE|NL|ES|DK|SE|NO|FR|DE|AT|US|CA|AU|JP|MA|JO|SA,,AMBASSADEUR-gated. Military formal evening uniform (variants per service + per country). Officers' Mess functions; military balls.
dresscode,dresscode-tropical-formal,Tropisch formeel,Tropical Formal,yes,cluster_dependent,E5_GULF_ROYAL|E8_SE_ASIA_NON_CONFUCIAN|E11_CARIBBEAN_ANGLO,,SA|AE|QA|KW|BH|OM|MY|BN|SG|HK|TH|ID|PH|JM|TT|BB|BS|IN,,"AMBASSADEUR-gated. Tropical-climate White Tie/Black Tie equivalent: white dinner jacket, lightweight tropical formal. Gulf + tropical Asia + Caribbean."
dresscode,dresscode-national-dress-eu-aristocratic,Nationale klederdracht NL/BE/DE/AT/CH,National Aristocratic Dress (Continental),no,country_specific,,,AT|DE|CH|NL|BE,,Country-traditional formal (Dirndl/Lederhosen for AT/DE/CH; regional varieties NL/BE for specific occasions). Less elite-restricted than Court Dress.
dresscode,dresscode-national-dress-thawb-bisht,Thawb / Bisht (Golf),Thawb / Bisht,no,cluster_dependent,E5_GULF_ROYAL|E6_LEVANT_MAGHREB,,SA|AE|QA|KW|BH|OM|YE|JO|EG,,Gulf + Levant traditional formal male attire. Thawb (white robe) for daily; Bisht (overrobe) for formal occasions. Royal courts essential.
dresscode,dresscode-national-dress-kimono,Kimono (formeel),Kimono (formal),no,country_specific,,,JP,,"Japanese formal traditional: variants per occasion (kuromontsuki for men, kurotomesode/furisode/houmongi for women). Distinct elite-courtly protocol."
dresscode,dresscode-national-dress-sari-sherwani,Sari / Sherwani (Zuid-Aziatisch),Sari / Sherwani,no,cluster_dependent,E9_SOUTH_ASIA,,IN|PK|BD|LK|NP,,"South Asian formal. Sari for women, Sherwani/Achkan for men. Elite-formal occasions: weddings, formal receptions, diplomatic functions."
dresscode,dresscode-national-dress-hanbok,Hanbok,Hanbok,no,country_specific,,,KR|KP,,Korean traditional formal. Modern hanbok-variants for weddings + formal occasions.
dresscode,dresscode-national-dress-cheongsam-hanfu,Cheongsam / Hanfu,Cheongsam / Hanfu,no,country_specific,,,CN|HK|TW|SG,,"Chinese traditional formal. Cheongsam (qipao) for women, Tangzhuang/Hanfu-revival for men. Modern elite weddings + cultural events."
dresscode,dresscode-national-dress-thai-royal,Thai Royal Dress,Thai Royal Dress,no,country_specific,,,TH|KH|LA,,"Thai royal-court formal: Chut Thai variants for women, Suea Phra Ratchathan for men. Thai royal protocol context."
dresscode,dresscode-national-dress-agbada-iro-buba,Agbada / Iro-Buba (West-Afrikaans),Agbada / Iro-Buba,no,cluster_dependent,E12_SUB_SAHARA,,NG|GH|SN|CI,,"West African formal traditional. Agbada (flowing robe) for men, Iro-Buba + Gele headtie for women. Elite-context + traditional ruler appearances."
dresscode,dresscode-wedding-guest,Bruiloft-gast,Wedding Guest Attire,no,universal,,,,,Universal. Variants per cultural context — captured separately in scenario generation.
dresscode,dresscode-funeral-attire,Rouwkleding,Funeral Attire,no,universal,,,,,Universal. Black/dark formal universally; specifics per religious-cultural context.
dresscode,dresscode-festive-wear,Feestkleding (seizoenen),Festive Wear,no,universal,,,,,Universal. Holiday-season variants: Christmas/New Year/Ramadan-Eid/Lunar New Year/Diwali/etc. Specific per religion-culture.
wardrobe_philosophy,wardrobe-capsule,Capsulegarderobe,Capsule Wardrobe,no,universal,,,,,Lifestyle-philosophy: minimal coordinated wardrobe. Cultural-cross-cutting.
wardrobe_philosophy,wardrobe-vintage-classic,Vintage en klassiek,Vintage & Classic,no,universal,,,,,Style-philosophy: timeless/heritage pieces. Cross-cutting.
wardrobe_philosophy,wardrobe-sustainable,Duurzame mode,Sustainable Fashion,no,universal,,,,,"Ethical/sustainable approach. Strongest in NW Europe + Nordic + Anglo conscientious-consumer cultures, but cross-cutting."
wardrobe_philosophy,wardrobe-bespoke-tailoring,Maatkleding (Bespoke),Bespoke Tailoring,yes,cluster_dependent,E2_ANGLOSPHERE_OLD_MONEY|E1_NW_EUROPE_ARISTOCRATIC|E4_MEDITERRANEAN_ARISTOCRATIC,,GB|IT|FR|BE|US|JP,,AMBASSADEUR-gated. Savile Row + Italian tailoring + French haute couture context. UHNW wardrobe-aanpak.
wardrobe_philosophy,wardrobe-haute-couture,Haute Couture,Haute Couture,yes,country_specific,,,FR|IT|US|GB,,AMBASSADEUR-gated. Paris haute couture (Chambre Syndicale members) + Milan + NYC + London. Specific atelier-context. Female-leaning.
sport_leisure,sport-football-soccer,Voetbal,Football / Soccer,no,universal,,,,,Universal global mass-sport.
sport_leisure,sport-tennis,Tennis,Tennis,no,universal,,,,,Universal — mass + elite-club tradition (Wimbledon/RG/AO/USO). All Tier A/B/C.
sport_leisure,sport-padel,Padel,Padel,no,cluster_dependent,E4_MEDITERRANEAN_ARISTOCRATIC|E10_LATIN_AMERICA_CRIOLLO,,ES|AR|MX|BR|IT|FR,,Spanish/Latin-origin; mass-explosion last decade in ES + LatAm. Spreading globally.
sport_leisure,sport-swimming,Zwemmen,Swimming,no,universal,,,,,Universal.
sport_leisure,sport-running-marathon,Marathon-Hardlopen,Marathon Running,no,universal,,,,,Universal — World Marathon Majors (Berlin/Boston/Chicago/London/NYC/Tokyo).
sport_leisure,sport-running-trail,Trail Running,Trail Running,no,cluster_dependent,E1_NW_EUROPE_ARISTOCRATIC|E2_ANGLOSPHERE_OLD_MONEY|E3_NORDIC_MONARCHIES,,CH|FR|IT|US|GB|NO|SE,,"UTMB (Chamonix), Western States, Lavaredo — Alpine + Anglo + Nordic outdoor."
sport_leisure,sport-cycling-road,Wegfietsen,Road Cycling,no,cluster_dependent,E1_NW_EUROPE_ARISTOCRATIC|E4_MEDITERRANEAN_ARISTOCRATIC,,BE|NL|FR|IT|ES|CH,,"Cycling-classic countries: Belgium Spring Classics, Tour de France, Giro, Vuelta. Belgian-Dutch national passion."
sport_leisure,sport-cycling-mountain,Mountainbiken,Mountain Biking,no,universal,,,,,Universal modern outdoor.
sport_leisure,sport-cycling-leisure,Fietsen (recreatief),Cycling (Leisure),no,universal,,,,,Universal — daily/leisure.
sport_leisure,sport-volleyball,Volleybal,Volleyball,no,universal,,,,,Universal; beach volleyball coastal variant.
sport_leisure,sport-basketball,Basketbal,Basketball,no,universal,,,,,Universal.
sport_leisure,sport-table-tennis,Tafeltennis,Table Tennis,no,cluster_dependent,E7_EAST_ASIAN_CONFUCIAN,,CN|JP|KR|HK|TW,,East Asian-dominated international; universal recreational.
sport_leisure,sport-yoga,Yoga,Yoga,no,universal,,,,,Universal modern wellness.
sport_leisure,sport-pilates,Pilates,Pilates,no,universal,,,,,Universal modern wellness.
sport_leisure,sport-hiking-walking,Wandelen / Hiking,Hiking / Walking,no,universal,,,,,Universal.
sport_leisure,sport-snowboarding,Snowboarden,Snowboarding,no,cluster_dependent,E1_NW_EUROPE_ARISTOCRATIC|E2_ANGLOSPHERE_OLD_MONEY|E3_NORDIC_MONARCHIES,,CH|AT|FR|IT|US|CA|NO|SE,,Modern variant of skiing context.
sport_leisure,sport-skiing-alpine,Alpineskiën,Alpine Skiing,no,cluster_dependent,E1_NW_EUROPE_ARISTOCRATIC|E2_ANGLOSPHERE_OLD_MONEY|E3_NORDIC_MONARCHIES,,CH|AT|FR|IT|DE|US|CA|NO|SE,,Continental Alps + Nordic + Anglo Rockies/Whistler. Mid-class to elite spectrum.
sport_leisure,sport-equestrian-dressage,Dressuur,Equestrian Dressage,yes,cluster_dependent,E1_NW_EUROPE_ARISTOCRATIC|E3_NORDIC_MONARCHIES|E2_ANGLOSPHERE_OLD_MONEY,,NL|DE|GB|DK|SE|FR|BE|US,,AMB-gated. Continental European-elite Olympic discipline. NL+DE dominant; Belgian/Dutch elite-school context.
sport_leisure,sport-equestrian-showjumping,Springruiterij,Equestrian Show Jumping,yes,cluster_dependent,E1_NW_EUROPE_ARISTOCRATIC|E2_ANGLOSPHERE_OLD_MONEY|E10_LATIN_AMERICA_CRIOLLO,,BE|NL|FR|DE|IE|GB|US|BR|AR,,AMB-gated. Belgian-Dutch-French strong; Aga Khan trophy Dublin; Global Champions Tour.
sport_leisure,sport-equestrian-polo,Polo,Polo,yes,cluster_dependent,E2_ANGLOSPHERE_OLD_MONEY|E10_LATIN_AMERICA_CRIOLLO|E9_SOUTH_ASIA|E5_GULF_ROYAL,,GB|AR|US|IN|AE|ES|BR|FR,,"AMB-gated. Hurlingham Club (GB), Argentine Open (highest globally), Maharaja Jodhpur tradition (IN), AE Royal-supported."
sport_leisure,sport-equestrian-fox-hunting,Vossenjacht (Hunt),Fox Hunting,yes,country_specific,,,GB|IE|US,,AMB-gated. UK-Anglo tradition; banned in modern UK (2004) but ride-following continues. IE active; US wealthy-county hunts.
sport_leisure,sport-equestrian-horse-racing,Paardenrennen (Flat & Steeplechase),Horse Racing,yes,cluster_dependent,E2_ANGLOSPHERE_OLD_MONEY|E1_NW_EUROPE_ARISTOCRATIC|E5_GULF_ROYAL,,GB|IE|US|FR|AU|HK|JP|AE|SA,,"AMB-gated. Royal Ascot, Epsom Derby, Kentucky Derby, Melbourne Cup, Dubai World Cup, Longchamp Arc. Royal patronage British + Gulf."
sport_leisure,sport-hunting-game-shooting,Plezierjacht (Wildhoender),Game Shooting (Driven Birds),yes,country_specific,,,GB|IE|ES|FR|BE|DK|US,,AMB-gated. UK pheasant/grouse/partridge driven shoots — country estate context. SE Spain partridge driven; FR battue; BE/NL faisanderie.
sport_leisure,sport-hunting-wing-shooting,Wing Shooting (US-stijl),Wing Shooting (Walk-up),yes,country_specific,,,US|CA|AR|UY|MX,,AMB-gated. US-style walk-up shooting: dove/quail/duck. Argentine dove-hunting (Córdoba) elite-international destination.
sport_leisure,sport-hunting-deer-stalking,Hertenpirschen,Deer Stalking,yes,country_specific,,,GB|DE|AT|CH|US|NZ,,"AMB-gated. Highland Scotland (stalking on estate), Continental European stalking, NZ South Island."
sport_leisure,sport-hunting-falconry,Valkenjacht,Falconry,yes,cluster_dependent,E5_GULF_ROYAL|E6_LEVANT_MAGHREB,E2_ANGLOSPHERE_OLD_MONEY,AE|SA|QA|KW|BH|OM|MA|MN|GB,,AMB-gated. **Essentieel Gulf-elite** — UNESCO Intangible Cultural Heritage. AE National Sport. SA/QA royal-patronage. UK British Falconers Club traditional. Mongolia eagle-hunters (Kazakh).
sport_leisure,sport-fencing,Schermen,Fencing,yes,cluster_dependent,E1_NW_EUROPE_ARISTOCRATIC|E2_ANGLOSPHERE_OLD_MONEY|E13_CEE_POST_SOVIET|E7_EAST_ASIAN_CONFUCIAN,,IT|FR|HU|RU|DE|US|JP|KR,,AMB-gated. European-aristocratic martial-art origin. Italian + French schools historic. Hungary + Russia strong Olympic.
sport_leisure,sport-martial-arts-japanese,Japanse martial arts (Judo/Karate/Aikido/Kendo),Japanese Martial Arts,no,cluster_dependent,E7_EAST_ASIAN_CONFUCIAN,,JP|KR|TW|CN,,"Universal practice but JP-origin + cultural depth (kata, ranks, dojo tradition)."
sport_leisure,sport-sailing-regatta,Zeilen (Wedstrijd),Sailing (Regatta),yes,cluster_dependent,E1_NW_EUROPE_ARISTOCRATIC|E2_ANGLOSPHERE_OLD_MONEY|E3_NORDIC_MONARCHIES|E4_MEDITERRANEAN_ARISTOCRATIC,,GB|MC|FR|IT|NL|US|AU|NZ|SE|DK,,"AMB-gated. America's Cup (US/NZ/CH/IT), Cowes Week (GB), Saint-Tropez Voiles, Cannes Régates Royales, Sydney-Hobart, Volvo Ocean Race."
sport_leisure,sport-yachting,Jachten (Motor/Pleasure),Yachting (Motor / Leisure),yes,universal,,,,,AMB-gated. UHNW pleasure-yachting separate from sailing-regatta. Mediterranean/Caribbean charter culture.
sport_leisure,sport-rowing,Roeien,Rowing,yes,cluster_dependent,E2_ANGLOSPHERE_OLD_MONEY|E1_NW_EUROPE_ARISTOCRATIC,,GB|US|NL|DE|AU|NZ|CA,,"AMB-gated. Oxford/Cambridge Boat Race, Henley Royal Regatta, US Ivy League. Dutch + Belgian strong."
sport_leisure,sport-skiing-cross-country,Langlauf (Skilanglauf),Cross-Country Skiing,no,cluster_dependent,E3_NORDIC_MONARCHIES|E1_NW_EUROPE_ARISTOCRATIC,,NO|SE|FI|CH|AT|DE|FR,,"Nordic discipline. Vasaloppet (SE), Holmenkollen (NO). Mid-class to elite in Nordic countries."
sport_leisure,sport-skiing-touring,Ski touring / Backcountry,Ski Touring / Backcountry,yes,cluster_dependent,E1_NW_EUROPE_ARISTOCRATIC|E3_NORDIC_MONARCHIES,,CH|AT|FR|IT|NO|SE|US,,"AMB-gated. Haute Route (CH-FR), Bavarian Alps. Mountain-elite expedition culture."
sport_leisure,sport-skiing-heli,Heli-skiing,Heli-Skiing,yes,cluster_dependent,E2_ANGLOSPHERE_OLD_MONEY|E1_NW_EUROPE_ARISTOCRATIC,,CA|US|CH|AT|NZ,,"AMB-gated. UHNW only. Bugaboos (CA), Wasatch (US), Verbier (CH)."
sport_leisure,sport-curling,Curling,Curling,yes,country_specific,,,GB|CA|US|SE|NO|DK|CH,,"AMB-gated. Royal Caledonian Curling Club (GB Scotland-origin), CA national passion + Olympic dominance, Swiss curling clubs."
sport_leisure,sport-mountaineering-alpinism,Bergbeklimmen / Alpinisme,Mountaineering / Alpinism,yes,cluster_dependent,E1_NW_EUROPE_ARISTOCRATIC|E2_ANGLOSPHERE_OLD_MONEY|E9_SOUTH_ASIA,,CH|AT|IT|FR|DE|GB|US|NP|IN,,"AMB-gated. Alpine Club (GB founding 1857), Swiss Alpine Club (SAC), Club Alpin Français. Himalayan-class: Everest UHNW expeditions, Annapurna, K2."
sport_leisure,sport-climbing-sport,Sportklimmen,Sport Climbing,no,universal,,,,,Universal modern; Olympic 2020. Indoor + outdoor.
